feature_id,type,area,name,parent,spec_section,status,app_author_note,spec_url
html-ls:section:1,section,intro-and-conformance,Introduction,,1,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#introduction
html-ls:section:1.1,section,intro-and-conformance,Where does this specification fit?,1,1.1,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#abstract
html-ls:section:1.2,section,intro-and-conformance,Is this HTML5?,1,1.2,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#is-this-html5?
html-ls:section:1.3,section,intro-and-conformance,Background,1,1.3,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#background
html-ls:section:1.4,section,intro-and-conformance,Audience,1,1.4,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#audience
html-ls:section:1.5,section,intro-and-conformance,Scope,1,1.5,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#scope
html-ls:section:1.6,section,intro-and-conformance,History,1,1.6,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#history-2
html-ls:section:1.7,section,intro-and-conformance,Design notes,1,1.7,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#design-notes
html-ls:section:1.7.1,section,intro-and-conformance,Serializability of script execution,1.7,1.7.1,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#serialisability-of-script-execution
html-ls:section:1.7.2,section,intro-and-conformance,Extensibility,1.7,1.7.2,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#extensibility
html-ls:section:1.8,syntax-or-parsing,intro-and-conformance,HTML vs XML syntax,1,1.8,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#html-vs-xhtml
html-ls:section:1.9,section,intro-and-conformance,Structure of this specification,1,1.9,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#structure-of-this-specification
html-ls:section:1.9.1,section,intro-and-conformance,How to read this specification,1.9,1.9.1,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#how-to-read-this-specification
html-ls:section:1.9.2,section,intro-and-conformance,Typographic conventions,1.9,1.9.2,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#typographic-conventions
html-ls:section:1.10,section,intro-and-conformance,A quick introduction to HTML,1,1.10,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#a-quick-introduction-to-html
html-ls:section:1.10.1,section,intro-and-conformance,Writing secure applications with HTML,1.10,1.10.1,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#writing-secure-applications-with-html
html-ls:section:1.10.2,section,intro-and-conformance,Common pitfalls to avoid when using the scripting APIs,1.10,1.10.2,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#common-pitfalls-to-avoid-when-using-the-scripting-apis
html-ls:section:1.10.3,section,intro-and-conformance,How to catch mistakes when writing HTML: validators and conformance checkers,1.10,1.10.3,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#how-to-catch-mistakes-when-writing-html:-validators-and-conformance-checkers
html-ls:section:1.11,section,intro-and-conformance,Conformance requirements for authors,1,1.11,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#conformance-requirements-for-authors
html-ls:section:1.11.1,section,intro-and-conformance,Presentational markup,1.11,1.11.1,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#presentational-markup
html-ls:section:1.11.2,syntax-or-parsing,intro-and-conformance,Syntax errors,1.11,1.11.2,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#syntax-errors
html-ls:section:1.11.3,section,intro-and-conformance,Restrictions on content models and on attribute values,1.11,1.11.3,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#restrictions-on-content-models-and-on-attribute-values
html-ls:section:1.12,section,intro-and-conformance,Suggested reading,1,1.12,out_of_scope,"Specification/background or explicitly outside the JellyFrame runtime contract. Specification explanatory/conformance material, not a runtime feature bucket.",https://html.spec.whatwg.org/multipage/introduction.html#suggested-reading
html-ls:section:2,section,common-infrastructure,Common infrastructure,,2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#infrastructure
html-ls:section:2.1,section,common-infrastructure,Terminology,2,2.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#terminology
html-ls:section:2.1.1,section,common-infrastructure,Parallelism,2.1,2.1.1,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#parallelism
html-ls:section:2.1.2,section,common-infrastructure,Resources,2.1,2.1.2,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#resources
html-ls:section:2.1.3,section,common-infrastructure,XML compatibility,2.1,2.1.3,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#xml
html-ls:section:2.1.4,section,common-infrastructure,DOM trees,2.1,2.1.4,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#dom-trees
html-ls:section:2.1.5,section,common-infrastructure,Scripting,2.1,2.1.5,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#scripting-2
html-ls:section:2.1.6,section,common-infrastructure,Plugins,2.1,2.1.6,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#plugins
html-ls:section:2.1.7,section,common-infrastructure,Character encodings,2.1,2.1.7,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#encoding-terminology
html-ls:section:2.1.8,section,common-infrastructure,Conformance classes,2.1,2.1.8,partial,Subset or graceful degradation. Check the capability matrix for exact behavior before relying on it. URLs/resources/policies are implemented only through bounded package/host subsets.,https://html.spec.whatwg.org/multipage/infrastructure.html#conformance-classes
